percentiles,hv10,hv120,hv150,hv180,hv20,hv30,hv60,hv90,ivcall10,ivcall1080,ivcall120,ivcall150,ivcall180,ivcall20,ivcall270,ivcall30,ivcall360,ivcall60,ivcall720,ivcall90,ivmean10,ivmean1080,ivmean120,ivmean150,ivmean180,ivmean20,ivmean270,ivmean30,ivmean360,ivmean60,ivmean720,ivmean90,phv10,phv120,phv150,phv180,phv20,phv30,phv60,phv90
0,0.172838,0.0,0.0,0.0,0.250274,0.268772,0.275842,0.0,0.429514,0.443342,0.433648,0.440522,0.440058,0.429514,0.443342,0.429514,0.443342,0.428842,0.443342,0.428842,0.510849,0.51669,0.512731,0.51569,0.5168470000000001,0.510849,0.51669,0.511488,0.51669,0.513547,0.51669,0.511947,0.2412,0.0,0.0,0.0,0.2990339999999999,0.3274,0.346804,0.0
1,0.2079,0.353868,0.0,0.0,0.27764,0.299748,0.3381119999999999,0.355048,0.456292,0.4694959999999999,0.456196,0.46616,0.46908,0.456292,0.4694959999999999,0.456292,0.4694959999999999,0.456292,0.4694959999999999,0.455176,0.52339,0.5269940000000001,0.526784,0.528284,0.526996,0.523792,0.5269940000000001,0.523792,0.5269940000000001,0.5277940000000001,0.5269940000000001,0.52616,0.280904,0.373156,0.0,0.0,0.3227,0.343468,0.3622,0.3762
2,0.2332199999999999,0.377784,0.378842,0.372968,0.294406,0.320902,0.354834,0.3714159999999999,0.477292,0.484622,0.478344,0.4848,0.48607,0.477292,0.484622,0.477292,0.484622,0.477348,0.484622,0.476518,0.533176,0.5360940000000001,0.533447,0.536294,0.5369470000000001,0.534258,0.5360940000000001,0.53447,0.5360940000000001,0.5358940000000001,0.5360940000000001,0.5351940000000001,0.304816,0.385768,0.382542,0.3801,0.340028,0.358014,0.3723,0.381772
3,0.246272,0.3853,0.38966,0.394168,0.309572,0.331036,0.367304,0.381388,0.485764,0.495532,0.490824,0.4972,0.496324,0.48622,0.495532,0.48612,0.495532,0.489192,0.495532,0.486756,0.542576,0.54196,0.540992,0.5427919999999999,0.542696,0.542984,0.54196,0.542984,0.54196,0.542384,0.54196,0.54038,0.324936,0.397824,0.399656,0.396768,0.358488,0.3692,0.38106,0.39748
4,0.26352,0.3948399999999999,0.3996,0.405,0.3217,0.34047,0.3821,0.39132,0.49689,0.50165,0.50035,0.5053799999999999,0.5052599999999999,0.49689,0.50165,0.4971799999999999,0.50165,0.49748,0.50165,0.49924,0.547415,0.5493250000000001,0.546045,0.548335,0.549,0.547415,0.5493250000000001,0.547415,0.5493250000000001,0.547415,0.5493250000000001,0.5460900000000001,0.33618,0.40778,0.41517,0.4176,0.37157,0.37851,0.39813,0.4039
5,0.278404,0.406868,0.413952,0.4131,0.334804,0.353604,0.393192,0.408064,0.508144,0.5114920000000001,0.51234,0.5121,0.511996,0.508144,0.5114920000000001,0.50902,0.5114920000000001,0.508144,0.5114920000000001,0.509044,0.552388,0.557576,0.550794,0.553994,0.5566639999999999,0.552388,0.557576,0.552388,0.557576,0.55267,0.557576,0.550188,0.350108,0.423068,0.424468,0.425784,0.380304,0.387104,0.411856,0.419244
6,0.286176,0.4285,0.424194,0.4333,0.345676,0.366438,0.4053819999999999,0.429704,0.517224,0.5179,0.519412,0.51943,0.519112,0.517224,0.5179,0.517224,0.5179,0.518906,0.5179,0.517412,0.559144,0.563686,0.555943,0.5604,0.5631860000000001,0.559015,0.563686,0.558686,0.563686,0.5591430000000001,0.563686,0.557029,0.361576,0.432798,0.432096,0.436398,0.3882379999999999,0.396076,0.421182,0.435536
7,0.294772,0.442184,0.435124,0.449124,0.3534,0.379544,0.415908,0.4386,0.5223639999999999,0.521664,0.523784,0.524164,0.5248280000000001,0.5223639999999999,0.521664,0.5225920000000001,0.521664,0.524228,0.521664,0.523212,0.5678599999999999,0.570584,0.5618,0.5650280000000001,0.568192,0.567844,0.570584,0.566792,0.570584,0.566792,0.570584,0.5659759999999999,0.370272,0.442124,0.440036,0.445512,0.3959,0.404472,0.430716,0.442292
8,0.3041,0.456026,0.452978,0.459752,0.359812,0.391406,0.4252019999999999,0.4513799999999999,0.527888,0.5257219999999999,0.529188,0.5289440000000001,0.528422,0.527888,0.5257219999999999,0.52741,0.5257219999999999,0.529544,0.5257219999999999,0.5288660000000001,0.573646,0.5762459999999999,0.56981,0.5728,0.5742459999999999,0.5743,0.5762459999999999,0.573646,0.5762459999999999,0.5741229999999999,0.5762459999999999,0.571482,0.3784,0.453178,0.4506259999999999,0.4563,0.406112,0.418324,0.43977,0.451864
9,0.31248,0.46648,0.48092,0.47964,0.3716399999999999,0.39904,0.43286,0.46124,0.5332,0.52984,0.53296,0.53188,0.53228,0.5332,0.52984,0.5332,0.52984,0.53388,0.52984,0.5334,0.57997,0.58278,0.57673,0.57869,0.5806,0.5808,0.58278,0.58072,0.58278,0.57915,0.58278,0.5763,0.38704,0.46562,0.46568,0.46704,0.41364,0.43042,0.44736,0.4604
10,0.320748,0.481178,0.490354,0.487708,0.3816,0.409874,0.445244,0.468964,0.5375,0.533838,0.537714,0.535838,0.536014,0.5375,0.533838,0.5375,0.533838,0.538476,0.533838,0.5375,0.5878730000000001,0.590834,0.5816,0.584,0.58639,0.588534,0.590834,0.5874780000000001,0.590834,0.587439,0.590834,0.582478,0.394948,0.4736,0.4745,0.473916,0.420174,0.438248,0.455672,0.4665
11,0.3287159999999999,0.4929,0.5016,0.5001,0.3897159999999999,0.4172,0.4549,0.4765,0.5437839999999999,0.5376,0.542088,0.539576,0.5398,0.5437839999999999,0.5376,0.543992,0.5376,0.5437839999999999,0.5376,0.5425679999999999,0.595288,0.5993160000000001,0.588488,0.590688,0.594128,0.594988,0.5993160000000001,0.595288,0.5993160000000001,0.593792,0.5993160000000001,0.58884,0.403608,0.481036,0.4793,0.478936,0.427108,0.4467159999999999,0.4632,0.473
12,0.337584,0.5007820000000001,0.5076,0.509982,0.398942,0.427352,0.4664,0.4837,0.546354,0.542762,0.546008,0.545408,0.545408,0.546354,0.542762,0.546354,0.542762,0.546354,0.542762,0.546208,0.602,0.605274,0.5939369999999999,0.599948,0.603311,0.6014959999999999,0.605274,0.602,0.605274,0.599274,0.605274,0.595674,0.4089419999999999,0.4845819999999999,0.4864,0.484864,0.433942,0.456042,0.470576,0.4788
13,0.345276,0.508892,0.511996,0.512788,0.408352,0.435876,0.477792,0.490736,0.5518,0.548324,0.550548,0.549536,0.549812,0.5518,0.548324,0.5518,0.548324,0.551324,0.548324,0.550412,0.6084860000000001,0.611,0.600544,0.605958,0.6085,0.6083860000000001,0.611,0.6084860000000001,0.611,0.6043580000000001,0.611,0.602688,0.4149,0.488796,0.4918,0.490096,0.4403,0.463176,0.476128,0.484236
14,0.35371,0.51291,0.51611,0.51604,0.41462,0.44211,0.4854,0.4997,0.5558,0.5526,0.55364,0.5547099999999999,0.55384,0.55608,0.5526,0.55608,0.5526,0.5553,0.5526,0.55458,0.6136,0.61767,0.608735,0.613635,0.6175350000000001,0.613305,0.61767,0.6136,0.61767,0.611005,0.61767,0.6095050000000001,0.42173,0.49421,0.4954,0.49471,0.44951,0.47149,0.4816,0.48872
15,0.361288,0.517524,0.5197,0.5209,0.423644,0.448244,0.492716,0.504984,0.55964,0.5560280000000001,0.557628,0.558256,0.557284,0.560056,0.5560280000000001,0.560056,0.5560280000000001,0.5588,0.5560280000000001,0.5581,0.6224360000000001,0.621284,0.6163839999999999,0.621084,0.6233839999999999,0.622052,0.621284,0.6216240000000001,0.621284,0.615968,0.621284,0.616888,0.428076,0.502372,0.500448,0.498424,0.457688,0.4786,0.49,0.497536
16,0.371178,0.521238,0.522438,0.523538,0.431356,0.457,0.499284,0.513024,0.564558,0.559486,0.5602,0.5618,0.560144,0.564944,0.559486,0.564572,0.559486,0.5628719999999999,0.559486,0.5621,0.629232,0.6257,0.6241329999999999,0.627532,0.6284,0.6284329999999999,0.6257,0.627166,0.6257,0.6242,0.6257,0.623999,0.435256,0.50809,0.504038,0.503476,0.466256,0.485256,0.4976,0.5047240000000001
17,0.3782359999999999,0.523756,0.5265,0.526952,0.439512,0.467812,0.5052679999999999,0.5199320000000001,0.569188,0.564188,0.5646,0.565976,0.564544,0.56952,0.564188,0.569188,0.564188,0.56882,0.564188,0.566964,0.6342,0.6295,0.628346,0.633446,0.631246,0.634164,0.6295,0.633566,0.6295,0.629982,0.6295,0.6284099999999999,0.440812,0.514204,0.5113519999999999,0.509,0.4754,0.4918,0.5047079999999999,0.5095959999999999
18,0.387184,0.5276,0.5295,0.531066,0.449046,0.4751,0.5126820000000001,0.5243,0.573502,0.568,0.567604,0.569304,0.5692,0.573604,0.568,0.573502,0.568,0.573,0.568,0.571604,0.638748,0.6338,0.633248,0.6354,0.6356620000000001,0.637924,0.6338,0.637162,0.6338,0.634531,0.6338,0.6338,0.4482,0.5174,0.516266,0.5142,0.4827,0.497546,0.5128940000000001,0.5173
19,0.3961,0.53088,0.53588,0.53856,0.4547,0.48242,0.5189,0.5310600000000001,0.5778,0.5718599999999999,0.57146,0.5730200000000001,0.57226,0.5778,0.5718599999999999,0.5778,0.5718599999999999,0.5773,0.5718599999999999,0.57552,0.6432,0.63658,0.63754,0.63892,0.63942,0.64288,0.63658,0.64212,0.63658,0.6391399999999999,0.63658,0.6372599999999999,0.45368,0.5214799999999999,0.5216,0.51846,0.49042,0.50288,0.52034,0.5221
20,0.404728,0.5359940000000001,0.5390940000000001,0.5479940000000001,0.4627,0.491814,0.5256919999999999,0.5377,0.5821,0.5778179999999999,0.5762360000000001,0.578954,0.576836,0.5821,0.5778179999999999,0.5821,0.5778179999999999,0.5813360000000001,0.5778179999999999,0.579518,0.647916,0.6402289999999999,0.6418,0.642929,0.642716,0.6476,0.6402289999999999,0.6472289999999999,0.6402289999999999,0.644629,0.6402289999999999,0.642219,0.458756,0.5298,0.5296,0.5229,0.497614,0.5083139999999999,0.527146,0.527616
21,0.411944,0.5415319999999999,0.542016,0.551008,0.470896,0.498736,0.535416,0.541428,0.587228,0.5819799999999999,0.580904,0.583252,0.581576,0.586832,0.5819799999999999,0.587228,0.5819799999999999,0.5854280000000001,0.5819799999999999,0.583152,0.6529780000000001,0.645656,0.6466780000000001,0.646,0.646978,0.652278,0.645656,0.651478,0.645656,0.6496780000000001,0.645656,0.6474,0.464248,0.540124,0.535108,0.5265319999999999,0.502548,0.514648,0.5342,0.5364
22,0.4202,0.547922,0.546488,0.5542,0.478282,0.5062,0.5412,0.545604,0.59127,0.585334,0.584234,0.5863360000000001,0.58647,0.59127,0.585334,0.591668,0.585334,0.589568,0.585334,0.5884,0.657627,0.6491,0.650127,0.648854,0.650235,0.656727,0.6491,0.655881,0.6491,0.653108,0.6491,0.651427,0.472282,0.5474,0.542266,0.5365,0.5074,0.5194639999999999,0.5397,0.5426
23,0.429116,0.553636,0.555272,0.5579,0.4850159999999999,0.5153479999999999,0.5482,0.550576,0.5953,0.589492,0.588692,0.589984,0.591284,0.5953,0.589492,0.595576,0.589492,0.5935,0.589492,0.591892,0.6625,0.652776,0.654076,0.6534519999999999,0.654476,0.6615759999999999,0.652776,0.661256,0.652776,0.656528,0.652776,0.655428,0.4780319999999999,0.553372,0.55458,0.547172,0.5132,0.5259,0.545272,0.55138
24,0.43635,0.56035,0.56235,0.5624,0.4916,0.5208,0.55425,0.5555,0.60095,0.59425,0.593,0.5933,0.5963,0.60095,0.59425,0.60095,0.59425,0.5979,0.59425,0.5956,0.66715,0.657025,0.657025,0.657025,0.65745,0.666,0.657025,0.6658499999999999,0.657025,0.661625,0.657025,0.658425,0.48465,0.56335,0.5659,0.56865,0.51915,0.53175,0.5552,0.5608
25,0.443984,0.565364,0.5714,0.5678639999999999,0.500036,0.5278,0.561076,0.562324,0.604324,0.598216,0.596,0.595724,0.5999,0.604324,0.598216,0.604324,0.598216,0.602308,0.598216,0.599048,0.6710740000000001,0.659274,0.6608740000000001,0.661574,0.660274,0.670674,0.659274,0.670674,0.659274,0.666074,0.659274,0.662548,0.4921,0.572664,0.5741,0.5780639999999999,0.523768,0.5373,0.562704,0.570048
26,0.452636,0.5698559999999999,0.5778559999999999,0.574812,0.5065,0.536918,0.568402,0.5661,0.6075980000000001,0.6023,0.600032,0.600098,0.6031620000000001,0.6075980000000001,0.6023,0.6075980000000001,0.6023,0.6063660000000001,0.6023,0.603298,0.676138,0.6626,0.663523,0.664623,0.663446,0.675846,0.6626,0.675315,0.6626,0.671823,0.6626,0.666069,0.498018,0.579578,0.581778,0.5821,0.5302,0.544318,0.5709019999999999,0.5764480000000001
27,0.4606,0.576992,0.5821,0.5793,0.512652,0.544452,0.577056,0.5728719999999999,0.6114480000000001,0.606124,0.6034240000000001,0.6031,0.6064480000000001,0.6114480000000001,0.606124,0.6116,0.606124,0.609024,0.606124,0.6062,0.679272,0.665544,0.666872,0.6682440000000001,0.667216,0.679272,0.665544,0.678888,0.665544,0.676088,0.665544,0.6707,0.506,0.585184,0.586892,0.587992,0.535352,0.5522520000000001,0.576928,0.5813
28,0.4701739999999999,0.581606,0.5868,0.58683,0.519386,0.550986,0.583054,0.578696,0.6141,0.609546,0.607082,0.607,0.6102,0.6141,0.609546,0.614592,0.609546,0.6116820000000001,0.609546,0.6091,0.683205,0.6697209999999999,0.6715209999999999,0.671368,0.670242,0.6831,0.6697209999999999,0.6831,0.6697209999999999,0.679,0.6697209999999999,0.6754209999999999,0.5121,0.592606,0.591812,0.594,0.5422,0.5609,0.580854,0.5879
29,0.4781,0.58784,0.5951,0.59528,0.52642,0.55854,0.58728,0.58784,0.61704,0.61204,0.61024,0.61086,0.6136,0.61704,0.61204,0.61704,0.61204,0.6148,0.61204,0.6119,0.68697,0.6746399999999999,0.67541,0.6751,0.67401,0.6869,0.6746399999999999,0.68618,0.6746399999999999,0.6828,0.6746399999999999,0.6794,0.51762,0.59812,0.59804,0.59912,0.54762,0.5666,0.58538,0.59672
30,0.484754,0.5966,0.601804,0.603268,0.5341,0.567054,0.5951059999999999,0.5957,0.6208940000000001,0.615298,0.61339,0.614194,0.6165,0.620596,0.615298,0.620596,0.615298,0.618996,0.615298,0.614596,0.6909,0.677476,0.678738,0.677557,0.6771,0.6909,0.677476,0.6900189999999999,0.677476,0.686119,0.677476,0.682819,0.523908,0.602634,0.6035,0.6037,0.554208,0.5715,0.5898059999999999,0.6018
31,0.4917,0.6025,0.607348,0.6096480000000001,0.543,0.574964,0.5996,0.6015360000000001,0.626556,0.617812,0.616812,0.6176,0.6194,0.626556,0.617812,0.626556,0.617812,0.6218,0.617812,0.618756,0.693972,0.6807679999999999,0.682968,0.6816679999999999,0.681004,0.693972,0.6807679999999999,0.693272,0.6807679999999999,0.690068,0.6807679999999999,0.6858,0.531476,0.6085,0.610248,0.6074,0.561488,0.5756,0.5950639999999999,0.6074
32,0.4987,0.6092,0.612,0.6166,0.551488,0.583,0.6044,0.605992,0.631028,0.619556,0.619614,0.620942,0.6227280000000001,0.631028,0.619556,0.6309,0.619556,0.626614,0.619556,0.621714,0.6970339999999999,0.684,0.686485,0.6851170000000001,0.684634,0.6970339999999999,0.684,0.6972,0.684,0.692451,0.684,0.690968,0.537922,0.614324,0.617962,0.6123620000000001,0.567644,0.581622,0.598658,0.6112839999999999
33,0.5038,0.6162759999999999,0.6173759999999999,0.6242759999999999,0.559556,0.5920800000000002,0.608684,0.612932,0.6338440000000001,0.6240600000000001,0.6236320000000001,0.624872,0.625188,0.6338440000000001,0.6240600000000001,0.633672,0.6240600000000001,0.631344,0.6240600000000001,0.6252719999999999,0.702798,0.6869660000000001,0.6897,0.688366,0.688466,0.702798,0.6869660000000001,0.7029,0.6869660000000001,0.6971660000000001,0.6869660000000001,0.6943320000000001,0.5463560000000001,0.6196,0.622176,0.6204520000000001,0.572756,0.5862,0.6047680000000001,0.616016
34,0.50989,0.62479,0.6222,0.63056,0.5674899999999999,0.5987899999999999,0.6138,0.6184,0.6379,0.62796,0.6271899999999999,0.6289,0.62863,0.63799,0.62796,0.6376,0.62796,0.63402,0.62796,0.6284,0.70943,0.689815,0.6930299999999999,0.69143,0.6917,0.70943,0.689815,0.709745,0.689815,0.701815,0.689815,0.697815,0.5523899999999999,0.6237699999999999,0.6279699999999999,0.62959,0.57868,0.593,0.61044,0.6222799999999999
35,0.516872,0.633216,0.633004,0.6366080000000001,0.57272,0.605,0.6202719999999999,0.6248,0.6423,0.631976,0.630688,0.6333639999999999,0.632676,0.6423,0.631976,0.6422,0.631976,0.637988,0.631976,0.6322519999999999,0.71412,0.692528,0.6965,0.6945,0.694628,0.71412,0.692528,0.7148,0.692528,0.7080599999999999,0.692528,0.702728,0.559524,0.630904,0.632008,0.635404,0.583524,0.599624,0.615672,0.6273639999999999
36,0.524732,0.642318,0.6419,0.647236,0.580658,0.611358,0.625962,0.632188,0.64586,0.635892,0.633846,0.636046,0.635892,0.64586,0.635892,0.645238,0.635892,0.642246,0.635892,0.634392,0.719039,0.695778,0.700743,0.698226,0.697913,0.719039,0.695778,0.718,0.695778,0.713039,0.695778,0.7080259999999999,0.5659799999999999,0.6361,0.6385179999999999,0.640618,0.589158,0.606558,0.6195620000000001,0.634876
37,0.533192,0.648032,0.6511,0.6530320000000001,0.589892,0.616776,0.632688,0.638424,0.650104,0.639404,0.638108,0.639204,0.6393,0.650004,0.639404,0.649904,0.639404,0.645408,0.639404,0.637924,0.722562,0.6981620000000001,0.705362,0.701986,0.7017,0.722562,0.6981620000000001,0.722024,0.6981620000000001,0.719724,0.6981620000000001,0.7134240000000001,0.5741680000000001,0.6417320000000001,0.6464,0.647232,0.598992,0.611892,0.6252,0.641224
38,0.541578,0.652946,0.661784,0.658946,0.5972259999999999,0.623226,0.6378280000000001,0.647244,0.654824,0.6418,0.641462,0.64311,0.642024,0.654824,0.6418,0.654206,0.6418,0.649862,0.6418,0.643448,0.726333,0.702044,0.711311,0.7049989999999999,0.705622,0.726333,0.702044,0.725833,0.702044,0.7230219999999999,0.702044,0.718311,0.581626,0.6489,0.651,0.656146,0.605652,0.6176,0.6357280000000001,0.6471
39,0.5488000000000001,0.66256,0.67076,0.6632600000000001,0.6035600000000001,0.6281,0.64378,0.65842,0.6582600000000001,0.64624,0.64354,0.646,0.64548,0.6582600000000001,0.64624,0.65766,0.64624,0.65356,0.64624,0.64652,0.73158,0.70656,0.71356,0.7100599999999999,0.71002,0.73128,0.70656,0.7299599999999999,0.70656,0.7255,0.70656,0.7225,0.5873600000000001,0.6543,0.65646,0.66242,0.6126600000000001,0.6238,0.64436,0.6536
40,0.556688,0.673374,0.6811,0.6671,0.6106519999999999,0.6340939999999999,0.649066,0.664184,0.662646,0.6494,0.6466,0.6485,0.648478,0.662646,0.6494,0.662056,0.6494,0.658478,0.6494,0.650956,0.734427,0.7099179999999999,0.719109,0.714518,0.7140179999999999,0.7344,0.7099179999999999,0.734309,0.7099179999999999,0.7295,0.7099179999999999,0.725909,0.5925819999999999,0.661474,0.6636,0.669674,0.617694,0.6288,0.652166,0.659768
41,0.562328,0.680788,0.686152,0.6728,0.6177,0.639528,0.6554,0.67124,0.6664,0.653008,0.650344,0.651216,0.651844,0.6664,0.653008,0.6661360000000001,0.653008,0.6621,0.653008,0.6549,0.737758,0.712658,0.723258,0.717358,0.716858,0.737858,0.712658,0.737858,0.712658,0.733658,0.712658,0.729258,0.6002,0.6684519999999999,0.6723279999999999,0.673088,0.6242559999999999,0.634212,0.658492,0.6672
42,0.5697,0.6884,0.6901,0.6799019999999999,0.623662,0.646162,0.66,0.6778599999999999,0.6712940000000001,0.6560940000000001,0.65537,0.655182,0.657134,0.6712940000000001,0.6560940000000001,0.670782,0.6560940000000001,0.667082,0.6560940000000001,0.6589940000000001,0.7425,0.715521,0.726607,0.721907,0.719735,0.743207,0.715521,0.742549,0.715521,0.737,0.715521,0.7329279999999999,0.605924,0.673604,0.682102,0.677004,0.6315,0.638962,0.664636,0.673832
43,0.577296,0.692,0.6945,0.6866,0.6328,0.6529,0.666488,0.6836,0.676,0.660252,0.658504,0.658956,0.660952,0.6751119999999999,0.660252,0.6751119999999999,0.660252,0.671004,0.660252,0.6634519999999999,0.745556,0.718812,0.730112,0.7259559999999999,0.723112,0.745556,0.718812,0.7455,0.718812,0.742592,0.718812,0.735556,0.6126,0.679416,0.6885,0.681316,0.639096,0.6441,0.670544,0.682
44,0.58623,0.6993600000000001,0.7003600000000001,0.69563,0.64143,0.65776,0.67127,0.6885800000000001,0.68203,0.66364,0.66211,0.66162,0.66425,0.68144,0.66364,0.68032,0.66364,0.67543,0.66364,0.66713,0.7502,0.7223100000000001,0.733,0.728215,0.7257,0.7502,0.7223100000000001,0.749905,0.7223100000000001,0.745805,0.7223100000000001,0.7386,0.6185,0.6861,0.69163,0.6851,0.64463,0.65073,0.68047,0.6882
45,0.595592,0.7079,0.705188,0.702608,0.649092,0.663964,0.6772,0.694212,0.686536,0.6675679999999999,0.665368,0.666168,0.667468,0.686368,0.6675679999999999,0.686268,0.6675679999999999,0.678968,0.6675679999999999,0.670704,0.7535540000000001,0.7249,0.735962,0.731616,0.7293620000000001,0.7535540000000001,0.7249,0.752362,0.7249,0.749816,0.7249,0.743608,0.6253559999999999,0.6911440000000001,0.6941,0.690088,0.6506639999999999,0.657,0.6879959999999999,0.693204
46,0.6063,0.714216,0.7096,0.713316,0.657092,0.6691980000000001,0.683344,0.699028,0.6925,0.671626,0.669878,0.671178,0.672126,0.6925,0.671626,0.6925,0.671626,0.6845519999999999,0.671626,0.6761,0.7576120000000001,0.7285090000000001,0.7397090000000001,0.734803,0.732506,0.7576120000000001,0.7285090000000001,0.7565029999999999,0.7285090000000001,0.7528090000000001,0.7285090000000001,0.746903,0.632494,0.699058,0.6972160000000001,0.6955,0.6580980000000001,0.6628980000000001,0.6959219999999999,0.6968279999999999
47,0.6153,0.720344,0.7173,0.7222,0.6632,0.6753319999999999,0.6911480000000001,0.7057,0.697168,0.675168,0.673236,0.674,0.675252,0.697168,0.675168,0.6975359999999999,0.675168,0.6905239999999999,0.675168,0.6795519999999999,0.76156,0.730856,0.742552,0.738656,0.735216,0.7612519999999999,0.730856,0.760652,0.730856,0.757052,0.730856,0.7502,0.640932,0.7060159999999999,0.701572,0.7011,0.6646,0.6706639999999999,0.702796,0.702104
48,0.622266,0.7287720000000001,0.7284,0.7295860000000001,0.6714979999999999,0.683,0.7012740000000001,0.7104,0.703384,0.679326,0.676952,0.67771,0.6796679999999999,0.703384,0.679326,0.702952,0.679326,0.694742,0.679326,0.685342,0.765301,0.7346,0.7459,0.7414019999999999,0.7385010000000001,0.765102,0.7346,0.7646019999999999,0.7346,0.760201,0.7346,0.752804,0.6508,0.710458,0.7057,0.707058,0.6725979999999999,0.681466,0.7107,0.7061
49,0.6301,0.7322,0.7344,0.7406,0.679,0.6909,0.7084,0.7175,0.7068,0.6841,0.6808,0.6817,0.6842,0.7068,0.6841,0.7067,0.6841,0.6994,0.6841,0.6911,0.7706,0.7379,0.7489,0.7444,0.74085,0.7704,0.7379,0.76865,0.7379,0.76305,0.7379,0.75645,0.6579,0.7151,0.7099,0.7215,0.6802,0.693,0.7174,0.7118
50,0.6388020000000001,0.7392279999999999,0.7471279999999999,0.747914,0.685634,0.6966,0.7152340000000001,0.728324,0.711274,0.6888,0.686,0.687158,0.688716,0.711274,0.6888,0.711016,0.6888,0.705674,0.6888,0.694516,0.774199,0.741591,0.7519,0.747398,0.7437,0.7738,0.741591,0.773297,0.741591,0.767892,0.741591,0.7602,0.665868,0.7206279999999999,0.7202979999999999,0.727814,0.6858,0.7002680000000001,0.723778,0.718224
51,0.6490360000000001,0.7475280000000001,0.754928,0.7541400000000001,0.6942,0.7032360000000001,0.722756,0.737048,0.7164480000000001,0.693516,0.692416,0.6902800000000001,0.692932,0.7164480000000001,0.693516,0.7163160000000001,0.693516,0.70918,0.693516,0.699316,0.7798480000000001,0.745248,0.755688,0.750248,0.746892,0.77908,0.745248,0.777496,0.745248,0.7718,0.745248,0.7635,0.6729040000000001,0.7265560000000001,0.727156,0.733356,0.6907,0.7089400000000001,0.7312,0.726096
